"hotel rooms with bidets in singapore. if contributing thru dms, please let me know the room type! ig @toiletswithbidetsg",,,,
,,,,
Hotel,Room Name w bidet (if applicable),Website,Location,Review (if any)
Amara Singapore,"deluxe king room

most likely all rooms has bidets!",Website,"100 AM, 165 Tg Pagar Rd, Singapore 088539",
Andaz,"All rooms has bidets!

- Andaz Suite King
- Andaz Residence Suite King
- Andaz Large Suite King
- Andaz Large Suite Twin
- Presidential Suite",Google ,"5 Fraser Street, Singapore, Singapore, 189354

",@hilmzeats's Deluxe Room
,,Website,,
Ascott Orchard Singapore,"All rooms has bidets!

- Studio Executive Suite
- Studio Premier Suite
- One-Bedroom Deluxe Suite
- One-Bedroom Premier Suite
- Two-Bedroom Premier Suite
- Murano Suite
- Pierre Suite
- Soho Suite",Website,"No. 11 Cairnhill Rd, Singapore 229724",
Ascott Raffles Place,"All rooms has bidets!

- Studio Cutler Suite
- One-Bedroom Collyer Suite
- One-Bedroom Brown Suite
- One-Bedroom Finlayson Suite
- Two-Bedroom Malcolm Suite
- Two Bedroom Elizabeth Suite",Website,"2 Finlayson Green, Singapore 049247",
Courtyard Singapore Novena,has bidets!,Website,"99 Irrawaddy Road, Novena, Singapore, 329568",
Cube Boutique Capsule Hotel @ Chinatown,has bidets!,Website,"76A/B, 78A/B Smith Street Level 2, #3, 05897",
Cube Boutique Capsule Hotel @ Kampong Glam,has bidets!,Website,"54, 55, 56 Bussorah St, Singapore 199471",
CSC Changi I,"Family Suite
Deluxe Villa 
Superior Villa
Premier Villa
",Website,"2 Netheravon Rd, Singapore 508503",
Dash Living on Mackenzie,most likely all rooms has bidets!,Website,"15 Mackenzie Rd, Singapore 228677",
Dorsett,"Studio Deluxe
Studio Premier 
Studio Premier Terrace
Studio Superior",Website,"3 Changi Business Park Central 1, Singapore 486037",@hilmzeats's Studio Premier
,,,,@wanderlusthaikel's Studio Superior - Twin 
"Four Points by Sheraton Singapore, Riverview",most likely all rooms has bidets!,Website,"382 Havelock Rd, Singapore 169629",
Fort Canning Hotel,"Deluxe Room 
Deluxe Garden
Premium Luxe",Website,11 Canning Walk Singapore 178881,@hilmzeats's deluxe room (corner)
Grand Copthorne Waterfront Hotel,"1-Bedroom Apartment
(superior & deluxe room no have bidet!)",Website,"392 Havelock Rd, Singapore 169663",
